review_id,user_id,review_date,rating,sentiment_theme,platform,plan_tier
0,u_202493,2026-03-21,4,fast_results,Android,free
1,u_202051,2026-05-30,1,app_crash,Android,free
2,u_206528,2026-06-28,5,good_model_variety,Android,free
3,u_202693,2026-06-28,1,credit_gating_friction,Android,free
4,u_203541,2026-04-06,3,credit_gating_friction,Web,free
5,u_204852,2026-06-28,5,fast_results,Android,free
6,u_206847,2026-05-23,4,fast_results,iOS,pro_annual
7,u_207776,2026-06-28,5,easy_to_use,Web,free
8,u_202929,2026-06-28,4,powerful_creative_toolset,Android,free
9,u_202681,2026-06-28,3,good_model_variety,iOS,free
10,u_201734,2026-04-09,1,aggressive_monetization,iOS,free
11,u_201205,2026-04-02,5,easy_to_use,Android,free
12,u_203057,2026-06-01,5,good_model_variety,Android,free
13,u_200982,2026-06-28,4,fast_results,iOS,free
14,u_202815,2026-06-28,1,content_policy_too_strict,Android,pro_monthly
15,u_207472,2026-06-28,5,good_model_variety,Web,free
16,u_205966,2026-06-12,4,addictive_generation_quality,iOS,free
17,u_207352,2026-06-28,4,easy_to_use,Android,free
18,u_203234,2026-06-28,2,credit_gating_friction,iOS,pro_monthly
19,u_205230,2026-06-28,5,easy_to_use,iOS,free
20,u_206321,2026-05-10,4,easy_to_use,Android,free
21,u_201357,2026-06-20,5,powerful_creative_toolset,Web,free
22,u_203512,2026-04-17,3,easy_to_use,iOS,pro_monthly
23,u_200715,2026-05-28,4,fast_results,Android,free
24,u_207185,2026-06-28,5,fast_results,Web,free
25,u_200688,2026-06-28,5,good_model_variety,Android,free
26,u_201178,2026-06-28,3,content_policy_too_strict,iOS,pro_monthly
27,u_206115,2026-06-28,3,app_crash,iOS,free
28,u_204615,2026-03-30,2,slow_generation,Android,free
29,u_207174,2026-04-17,5,powerful_creative_toolset,iOS,free
30,u_207252,2026-06-28,5,good_model_variety,iOS,free
31,u_206946,2026-04-16,2,aggressive_monetization,iOS,free
32,u_205469,2026-06-28,5,good_model_variety,iOS,free
33,u_205542,2026-04-29,3,powerful_creative_toolset,Android,pro_annual
34,u_203417,2026-04-27,5,addictive_generation_quality,Android,free
35,u_202751,2026-04-26,4,good_model_variety,iOS,pro_monthly
36,u_201649,2026-05-07,5,fast_results,Android,free
37,u_201796,2026-06-28,2,aggressive_monetization,Android,free
38,u_201267,2026-06-28,4,addictive_generation_quality,Android,free
39,u_205530,2026-05-04,4,addictive_generation_quality,iOS,free
40,u_200490,2026-06-21,4,addictive_generation_quality,Android,free
41,u_202168,2026-06-28,5,easy_to_use,iOS,free
42,u_205688,2026-06-28,5,fast_results,iOS,free
43,u_200429,2026-06-28,5,powerful_creative_toolset,Android,pro_annual
44,u_204165,2026-06-28,2,credit_gating_friction,Web,free
45,u_202229,2026-06-28,1,aggressive_monetization,Android,enterprise
46,u_204384,2026-06-28,4,addictive_generation_quality,Web,free
47,u_200987,2026-06-22,4,easy_to_use,Android,pro_annual
48,u_200310,2026-06-28,4,fast_results,iOS,free
49,u_200352,2026-06-08,5,powerful_creative_toolset,iOS,free
50,u_207296,2026-03-11,3,credit_gating_friction,Android,pro_annual
51,u_201992,2026-06-02,3,content_policy_too_strict,iOS,free
52,u_205393,2026-06-17,5,powerful_creative_toolset,iOS,free
53,u_206910,2026-06-28,5,fast_results,iOS,free
54,u_206236,2026-06-28,5,easy_to_use,Android,pro_monthly
55,u_200727,2026-06-28,5,powerful_creative_toolset,iOS,free
56,u_202821,2026-06-22,5,addictive_generation_quality,Android,free
57,u_201940,2026-06-28,5,fast_results,Android,free
58,u_201676,2026-06-28,5,fast_results,Android,free
59,u_200726,2026-05-05,1,failed_generation_charged_credits,Android,free
60,u_205947,2026-06-28,4,addictive_generation_quality,iOS,free
61,u_203684,2026-06-14,4,fast_results,iOS,pro_annual
62,u_201770,2026-06-28,5,fast_results,Android,free
63,u_201866,2026-04-16,4,fast_results,Android,free
64,u_207654,2026-06-19,1,credit_gating_friction,iOS,free
65,u_204973,2026-06-28,4,fast_results,Web,free
66,u_206822,2026-06-28,4,powerful_creative_toolset,Web,free
67,u_201112,2026-06-02,4,good_model_variety,Android,pro_monthly
68,u_206922,2026-06-13,4,easy_to_use,Web,free
69,u_205259,2026-06-06,5,fast_results,Android,free
70,u_207943,2026-04-27,4,fast_results,iOS,free
71,u_202307,2026-06-28,5,easy_to_use,iOS,free
72,u_205714,2026-06-28,4,good_model_variety,Android,free
73,u_200137,2026-06-28,4,good_model_variety,iOS,pro_monthly
74,u_201683,2026-06-28,5,powerful_creative_toolset,Android,pro_monthly
75,u_201948,2026-05-28,1,aggressive_monetization,Android,free
76,u_205593,2026-06-28,5,fast_results,Android,pro_monthly
77,u_200841,2026-06-28,5,fast_results,iOS,free
78,u_200628,2026-06-28,5,easy_to_use,Android,free
79,u_205463,2026-05-22,5,fast_results,iOS,free
80,u_203642,2026-06-28,5,powerful_creative_toolset,Android,pro_monthly
